Date,FIPSCode,Month In Effect,Date In Effect,Mask Use Perc
07/03/2020,20147,4,07/2020,0.48
07/03/2020,20149,4,07/2020,0.786
07/03/2020,20151,4,07/2020,0.696
07/03/2020,20153,4,07/2020,0.488
07/03/2020,20155,4,07/2020,0.645
07/03/2020,20157,4,07/2020,0.668
07/03/2020,20159,4,07/2020,0.651
07/03/2020,20161,4,07/2020,0.796
07/03/2020,20163,4,07/2020,0.383
07/03/2020,20165,4,07/2020,0.586
07/03/2020,20167,4,07/2020,0.492
07/03/2020,20169,4,07/2020,0.566
07/03/2020,20171,4,07/2020,0.523
07/03/2020,20173,4,07/2020,0.759
07/03/2020,20175,4,07/2020,0.629
07/03/2020,20177,4,07/2020,0.817
07/03/2020,20179,4,07/2020,0.421
07/03/2020,20181,4,07/2020,0.471
07/03/2020,20183,4,07/2020,0.514
07/03/2020,20185,4,07/2020,0.724
07/03/2020,20187,4,07/2020,0.604
07/03/2020,20189,4,07/2020,0.633
07/03/2020,20191,4,07/2020,0.742
07/03/2020,20193,4,07/2020,0.447
07/03/2020,20195,4,07/2020,0.428
07/03/2020,20197,4,07/2020,0.792
07/03/2020,20199,4,07/2020,0.508
07/03/2020,20201,4,07/2020,0.666
07/03/2020,20203,4,07/2020,0.532
